Q0QFQ1	Q0QFQ1
F1SPM8	F1SPM8
F1SPM8	Q3UHJ0
F1SPM8	P0C1X8
B3Q607	B3Q607
B3Q607	A4YJI4
B3Q607	B2S9A2
B3Q607	Q2YQW8
B3Q607	Q28WD5
B3Q607	Q57AF3
B3Q607	C0RFZ1
B3Q607	A5VT60
B3Q607	B0CJK5
B3Q607	C3MBA1
B3Q607	A9CKT0
B3Q607	A6UEI3
B3Q607	B9JXV8
B3Q607	C5ASN5
B3Q607	C7CMU4
B3Q607	A7IFZ8
B3Q607	B1ZLY6
B3Q607	B0UKV1
B3Q607	B8ESN3
B3Q607	Q0BQJ1
B3Q607	B3PVV4
B3Q607	Q1MND4
B3Q607	Q2J2G6
B3Q607	Q13EQ0
B3Q607	Q2S3F0
B3Q607	Q3ATW0
B3Q607	Q2N9M9
B3Q607	Q0ATK2
B3Q607	C6XMV9
B3Q607	Q4FND1
B3Q607	Q3ACZ8
B3Q607	A5UQC0
B3Q607	A7NIE9
B3Q607	B1ZVD6
B4T8P3	B4T8P3
B4T8P3	C0Q7S7
B4T8P3	B5BDD0
B4T8P3	B4TZH7
B4T8P3	Q325J7
B4T8P3	Q3Z505
B4T8P3	A1JNT5
B4T8P3	Q66DW7
B4T8P3	A7ZIF6
B4T8P3	B7UJM7
B4T8P3	B5Z2W0
B4T8P3	B1XEZ2
B4T8P3	A7ZX55
B4T8P3	B7N8V6
B4T8P3	B6HZK4
B4T8P3	B1LJF2
B4T8P3	A4W777
B4T8P3	A6T5D6
B4T8P3	B5EWT7
B4T8P3	Q57SG0
B4T8P3	B5R6Q5
Q06K61	Q06K61
Q06K61	P58781
Q06K61	Q5RC46
Q06K61	Q5MIX2
Q06K61	Q553U5
Q2RL77	Q2RL77
Q2RL77	A8MJ41
Q2RL77	A6TVN2
Q2RL77	Q3AA35
Q2RL77	B2THC8
Q2RL77	A5HYY0
Q2RL77	A7FPG0
Q2RL77	A0PY67
Q2RL77	B8FXD7
Q2RL77	B0TDI0
Q2RL77	A5D1P3
Q2RL77	B7GM51
Q2RL77	A0RAX7
Q2RL77	B7JDU4
Q2RL77	B7HGP9
Q2RL77	Q63EM2
Q2RL77	B1I493
Q2RL77	A4IKW7
Q2RL77	Q67MD5
Q2RL77	A0AL18
Q2RL77	Q0AXU8
Q2RL77	B0K213
A2QL72	A2QL72
A2QL72	Q4WVZ3
O58954	O58954
O58954	Q5JI79
D2PPM7	D2PPM7
Q5I0K7	Q5I0K7
P0AAS6	P0AAS6
P75820	P75820
P47631	P47631
A8ABM7	A8ABM7
A8ABM7	B1L7I3
A8ABM7	C3MJC8
A8ABM7	A4YEU7
A8ABM7	C3N0C0
A8ABM7	C3MTR0
A8ABM7	Q4JCK7
A8ABM7	A3DLP6
Q61010	Q61010
B4SZD3	B4SZD3
B4SZD3	Q5PCL7
B4SZD3	E1W9M1
B4SZD3	B2TU97
B4SZD3	Q324J6
B4SZD3	Q32IL9
B4SZD3	Q0T6V4
B4SZD3	A8AJA5
B4SZD3	B7ULJ5
B4SZD3	B7LAC0
B4SZD3	B7NMR0
B4SZD3	B7MPL0
B4SZD3	A7ZXX5
B4SZD3	Q0TJX8
B4SZD3	P50465
B4SZD3	B7N9V3
B4SZD3	B1LLF1
B4SZD3	Q1REK9
B4SZD3	B5EZF2
B4SZD3	Q57RM1
B4SZD3	B5FNF0
B4SZD3	B5QWF8
B4SZD3	B5R679
A1A4K5	A1A4K5
A1A4K5	P06802
A1A4K5	Q5R5M5
A1A4K5	P15396
A1A4K5	P97675
Q4I2M7	Q4I2M7
Q4I2M7	Q5B3W7
Q4I2M7	Q4WWN2
P0A209	P0A209
P0A209	P0A208
P0A209	P76556
Q0JKD0	Q0JKD0
Q0JKD0	Q0DG35
Q0JKD0	Q03460
Q1QBS6	Q1QBS6
Q1QBS6	B7GZW3
Q1QBS6	B7I2M0
Q1QBS6	A3M6Y6
Q1QBS6	B0V862
Q1QBS6	Q3V7H1
B3LKQ3	B3LKQ3
B3LKQ3	A6ZW78
B3LKQ3	P32363
B3LKQ3	P37287
P52032	P52032
P52032	O24296
P52032	O48646
P63507	P63507
P63507	B8ZT67
P63507	P46716
P63507	A5TZQ4
P63507	B9MRJ7
P63507	B1I4L1
P63507	B0TFV0
P63507	B2I6C2
P63507	Q2P6E4
P63507	B8G2L6
P63507	Q325Y5
P63507	Q32JV4
P63507	B0U328
P63507	B7LGL6
P63507	A5W9H0
P63507	Q3Z5K3
P63507	B7NIB7
P63507	Q3ACS9
P63507	B7MP16
P63507	Q01YQ2
P63507	A1A7K0
P63507	B2FT35
P63507	Q0TLH7
P63507	B1IQI6
P63507	P23893
P63507	B5Y1L5
P63507	B7N823
P63507	A6T4V8
P63507	B6HZD0
P63507	C1D9B6
P63507	Q1RG34
P63507	Q3A7W5
P63507	A5GMT2
P63507	Q3AWP4
P63507	Q0AZ36
P63507	Q57T53
P63507	C6DC32
P63507	B5RHE0
P63507	Q39QA6
P63507	B4TK30
P63507	Q5P6J6
P63507	B4SUY4
P63507	Q5PD43
P63507	B8GLE4
P63507	C0Q5R5
P63507	B5BL82
P63507	A7MGR5
P63507	B4TXQ6
P63507	C3LSN1
P63507	Q4UYA7
P63507	B8FBA1
P63507	B0RP74
P63507	A7GXK4
P63507	A8ZZU9
P63507	A0L3S9
P63507	B0UST3
P63507	Q15YL3
P63507	Q02SE5
P63507	Q31FB1
P63507	A1ST92
P63507	A9KP86
P63507	A4VQY0
P63507	A5IC29
P63507	Q2LVW6
P63507	Q5ZVA6
P63507	A1AVQ1
P63507	Q1GXW0
P63507	B4EUE1
P63507	A5CXH8
P63507	C4K6Y5
P63507	Q48DP1
P63507	A0RQ51
P63507	A1VZJ6
P63507	Q1QEE8
P63507	A5WC94
P63507	Q47V96
P63507	B4U8M6
P63507	B7GYZ5
P63507	B7I4N4
P63507	B2HW19
P63507	B0VU92
P63507	B0VCN6
P63507	A3CL81
P63507	Q254Z2
P63507	Q5L5P0
P63507	B3EI07
P63507	B3EKJ7
P63507	A1BJG8
P63507	A4SGT2
P63507	B2U6Q7
P63507	Q0KDN9
P63507	Q30RJ4
P63507	A0AJ02
P63507	C1KVK0
P63507	B4RNX2
P63507	Q5FAH9
P63507	A9M1G6
P63507	A1KS34
P63507	B2V5U0
P63507	B3DY05
P63507	C0QQ98
P63507	Q2RJ31
P63507	B7JBI1
P63507	A0KNY9
P63507	B2VE25
P63507	A4SJ79
P63507	Q3SFU6
P63507	B0RBL3
P63507	A5CNI7
P63507	Q0RS03
P63507	A6W5M6
P63507	Q2JFQ1
P63507	A7NKV1
P63507	A9WIS7
P63507	A5UU40
P63507	B2UNE3
P63507	A6LSY8
P63507	A5N5Y1
P63507	Q0TQG7
P63507	Q0ST19
P63507	B8DN02
P63507	A6TJD8
P63507	A0Q2A8
P63507	A4FPX3
P63507	A3PUB7
P63507	Q1BE73
P63507	A0PLS0
P63507	C0ZUX9
P63507	Q0SF42
P63507	C1AZ30
P63507	Q5YP79
P63507	A8MGY8
P63507	A0Q628
P63507	Q14HS1
P63507	A7NCX8
P63507	B2SGG7
P63507	Q0BLC7
P63507	A1TKK8
P63507	A1WBR8
P63507	A2SKQ7
P63507	C3N842
P63507	C3MJ22
P63507	Q2IHP8
P63507	B8JCU6
P63507	O66998
P63507	C1A7K7
P63507	A6LKX4
P63507	A4QB78
P63507	C3PKI4
P63507	Q5SJS4
P63507	Q4JSY1
P63507	A5G9C0
P63507	B5FAL8
P63507	A1ASE9
P63507	B3E9X0
P63507	B1VEK3
P63507	Q06774
P63507	B1YUJ7
P63507	A6T2A2
P63507	Q13V40
P63507	Q39IQ4
P63507	A3MMQ8
P63507	B1JX81
P63507	Q1BYB1
P63507	Q63RP8
P63507	Q2SYB2
P63507	B6J3H2
P63507	Q4K5I6
P63507	Q2Y5Q5
P63507	Q2S8X9
P63507	A9KBA0
P63507	A1WYL3
P63507	C6AR33
P63507	Q2NF42
P63507	Q5UZ90
P63507	B9LTZ9
P63507	C4L4J9
P63507	Q49Y99
P63507	B2A1H4
P63507	B9E740
P63507	A7X388
P63507	A6U2D5
P63507	A6QHK1
P63507	P99096
P63507	A8Z2I8
P63507	Q65GK4
P63507	A7Z7A2
P63507	C0ZAH4
P63507	A4IRG2
P63507	C1CWI8
P63507	Q1IWZ8
P63507	A4XC73
P63507	A1T3F2
P63507	Q07YU5
P63507	B5ZA72
P63507	Q1CUJ7
P63507	B2USD7
P63507	A8H164
P63507	Q0HSE6
P63507	A1JJQ1
P63507	Q2NVQ0
P63507	A7FM09
P63507	A9R1E6
P63507	Q66EF1
P63507	B1JK22
P63507	B9J3N2
P63507	B7H9S6
P63507	A6U2W8
P63507	A5IU30
P63507	Q65M82
P63507	Q5HER0
P63507	A9VSS7
P63507	A6QI46
P63507	A8FB92
P63507	B1YK58
P63507	Q5L2S4
P63507	Q5WIE9
P63507	Q4L7G9
P63507	B7IW22
P63507	C3PCZ3
P63507	A0R9G6
P63507	B7JNG6
P63507	A0AJD9
P63507	B0CC57
P63507	A5GUJ2
P63507	Q0I8G1
P63507	Q42522
P63507	B7KA18
P63507	B7K2I1
P63507	Q2JS70
P63507	B1ZVF7
P63507	A3PBK8
P63507	A9BEA5
P63507	A2BVE5
P63507	Q3M3B9
P63507	A2BPW6
P63507	B0JPW6
P63507	Q46GT9
P63507	A8M919
P63507	A2BL27
P63507	A4WN33
P63507	B1YBL3
P63507	P18492
P63507	P31593
P63507	P42799
P63507	A0RXB3
P63507	Q67KM3
P63507	A9A1A0
P63507	B0SNK3
P63507	Q0W5T3
P63507	Q04X52
P63507	A7I7P2
P63507	A2SQU3
P63507	A1R898
P63507	B7JQ54
P63507	A5VM65
P63507	B7GH35
P63507	C1ETQ7
P63507	P30949
P63507	A9VIT5
P63507	A8FFU9
P63507	B7IIX2
P63507	Q2S1S3
P63507	O29027
P63507	A4FZY1
P63507	Q58020
P63507	A6VIL1
P63507	A6URL2
P63507	A0B885
Q5EAC2	Q5EAC2
Q5EAC2	P51855
Q5EAC2	P35668
Q5EAC2	Q54E83
P50899	P50899
A7YY55	A7YY55
A7YY55	Q5NVQ2
A8A345	A8A345
A8A345	B1IVT8
A8A345	Q47140
A8A345	B6I5B2
A8A345	B1LNJ5
A8A345	Q3YZ14
A8A345	B7NRI8
A8A345	B1XB14
A8A345	P0C619
A8A345	O24677
A8A345	Q52439
A8A345	Q53123
A8A345	Q07945
O69762	O69762
H2KY86	H2KY86
Q58401	Q58401
Q58401	O26268
P69345	P69345
O14028	O14028
O14028	P53944
O14028	B5YIQ8
A7ZRV0	A7ZRV0
A7ZRV0	B7MB04
A7ZRV0	B7LH04
A7ZRV0	B5YRA8
A7ZRV0	B7LZL8
A7ZRV0	A8A4M5
A7ZRV0	A1AFY9
A7ZRV0	P0A9H2
A7ZRV0	B1IRP8
A7ZRV0	B7ND57
A7ZRV0	B1LF61
A7ZRV0	Q1R6R1
A7ZRV0	A4WEK3
A7ZRV0	A6TE50
A7ZRV0	A9MPV1
A7ZRV0	Q57JP7
A7ZRV0	B5REH0
A7ZRV0	B4T682
A7ZRV0	Q5PKX5
A7ZRV0	P43343
A7ZRV0	Q0T0J4
A7ZRV0	A8APW0
Q5L0X7	Q5L0X7
Q5L0X7	Q1IKG8
Q5L0X7	Q5FKV3
Q5L0X7	Q1GAT6
Q5L0X7	Q2FZ92
Q5L0X7	A5IS69
Q5L0X7	A6QG83
Q5L0X7	A8Z3M4
Q5L0X7	B9DPR3
Q5L0X7	Q5HQ09
Q5L0X7	Q4L5N4
Q5L0X7	A7X1C4
Q5L0X7	A6U103
Q5L0X7	Q2FHQ4
Q5L0X7	Q02XX9
Q5L0X7	A7GRN8
Q5L0X7	A0RHT3
Q5L0X7	C1EPS6
Q5L0X7	B7HM33
Q5L0X7	Q636B4
Q5L0X7	Q38XM9
Q5L0X7	B9EB51
Q5L0X7	Q039R8
Q5L0X7	B3WDY1
Q5L0X7	B2GB77
Q5L0X7	A5UZT4
Q5L0X7	A7NI97
Q5L0X7	O07669
Q5L0X7	B9DUV7
Q5L0X7	Q3K2P4
Q5L0X7	B4U1U3
Q5L0X7	A8AW14
Q5L0X7	P0C0D8
Q5L0X7	P0DC52
Q5L0X7	C1C648
Q5L0X7	Q1JKY4
Q5L0X7	B8ZMZ6
Q5L0X7	Q48SK8
Q5L0X7	P0DC53
Q5L0X7	P0C0D7
Q5L0X7	B5XMA3
Q5L0X7	A3CLN5
Q5L0X7	A4VTK3
Q5L0X7	Q03L98
Q5L0X7	C1CD51
Q5L0X7	B1YIT8
Q5L0X7	B3EQC0
Q5L0X7	B4SHE6
Q5L0X7	B3QLW6
Q5L0X7	B3QWT5
Q5L0X7	Q5LIJ5
Q5L0X7	Q5SJD2
Q5L0X7	Q1J147
Q5L0X7	A2BY75
Q5L0X7	B1X090
Q5L0X7	Q3AZI5
Q5L0X7	P73668
Q5L0X7	Q2JHP5
Q5L0X7	Q1C212
Q5L0X7	Q1CMM9
Q5L0X7	P14900
Q5L0X7	Q57TD2
Q5L0X7	Q5PDC2
Q5L0X7	Q32K04
Q5L0X7	Q2NVV3
Q5L0X7	Q5L521
Q5L0X7	Q2IG29
Q5L0X7	B0BAL3
Q5L0X7	B3E3Y4
Q5L0X7	B5EBP9
Q5L0X7	A5G8K2
Q5L0X7	B9M170
Q5L0X7	Q31I61
Q5L0X7	A9KER6
Q5L0X7	B6J5K6
Q5L0X7	B6J2Q5
Q5L0X7	Q1AVX1
Q5L0X7	Q5F6L6
Q5L0X7	B4RQC7
Q5L0X7	A1KVL5
Q5L0X7	Q1LSW4
Q5L0X7	A5UCX0
Q5L0X7	Q65RY4
Q5L0X7	B8D916
Q5L0X7	P57313
Q5L0X7	B8D7C1
Q5L0X7	Q604V5
Q5L0X7	Q3J787
Q5L0X7	B6ELH7
Q5L0X7	B7VJ01
Q5L0X7	A5F5N1
Q5L0X7	Q4FQ21
Q5L0X7	Q21MH1
Q5L0X7	C5BP36
Q5L0X7	B2I1V6
Q5L0X7	B7I325
Q5L0X7	C4Z534
Q5L0X7	A8MH34
Q5L0X7	A6TS63
Q5L0X7	Q319C4
Q5L0X7	Q1GIV4
Q5L0X7	Q03522
Q5L0X7	Q163I6
Q5L0X7	A4WQD2
Q5L0X7	B9KNJ5
Q5L0X7	Q5FUJ7
Q5L0X7	B8I2T4
Q5L0X7	B1IGJ0
Q5L0X7	B2UXV7
Q5L0X7	B1KTB9
Q5L0X7	Q0TMJ3
Q5L0X7	Q2LR50
Q5L0X7	Q313Q5
Q5L0X7	A1VBE6
Q5L0X7	B8IZT9
Q5L0X7	B8DP81
Q5L0X7	Q1MPC1
Q5L0X7	B2KEW4
Q5L0X7	A1KKJ8
Q5L0X7	A0QF50
Q5L0X7	A5U4I2
Q5L0X7	P9WJL4
Q5L0X7	Q4JW97
Q5L0X7	B1VHC6
Q5L0X7	B7GQ76
Q5L0X7	B3DQM9
Q5L0X7	Q21SW7
Q5L0X7	B0K3H2
Q5L0X7	B0K8K5
Q5L0X7	Q5P6Z4
Q5L0X7	Q5YYY1
Q5L0X7	Q3K742
Q5L0X7	Q11RH3
Q5L0X7	Q39JX2
Q5L0X7	A9AJ18
Q5L0X7	Q1BZG5
Q5L0X7	Q5WTI5
Q5L0X7	Q5ZSA3
Q5L0X7	A2S5U7
Q5L0X7	A3NDW6
Q5L0X7	Q63QJ5
Q5L0X7	Q2SZI5
Q5L0X7	Q24TE4
Q5L0X7	A1U3G0
Q5L0X7	Q1GYZ9
Q5L0X7	Q2JD52
Q5L0X7	Q3AAE4
Q5L0X7	Q47QX1
Q5L0X7	Q5H2Y1
Q5L0X7	Q4UWX9
Q5L0X7	B7IFU5
Q5L0X7	A6LJK7
Q5L0X7	B9K6P5
Q5L0X7	A9BGS7
C3N7W1	C3N7W1
C3N7W1	C3NJ67
C3N7W1	C3MJB1
C3N7W1	C3MZX9
C3N7W1	C3MTP3
C3N7W1	C4KJF1
P40406	P40406
P22244	P22244
P22244	P25891
P22244	P25892
P22244	P28522
P47473	P47473
P47473	P9WH75
P47473	Q08698
P47473	P50620
B5UAT8	B5UAT8
Q15TV2	Q15TV2
Q15TV2	A0KKF0
Q15TV2	Q57QS3
Q15TV2	B5FR09
Q15TV2	B5QZH0
Q15TV2	B5R6D3
Q15TV2	B4TE06
Q15TV2	B4T209
Q15TV2	A9N6W0
Q15TV2	C0Q8C5
Q15TV2	B5BBK0
Q15TV2	A9R2N9
Q15TV2	A7ME44
Q15TV2	A7ZK71
Q15TV2	A7ZYR9
Q15TV2	A1A9N6
Q15TV2	Q0TJ93
Q15TV2	A6T766
Q15TV2	A5F8G8
Q15TV2	Q07VV2
Q15TV2	A1S9W1
Q15TV2	A6WRS8
Q15TV2	A0KTU3
Q15TV2	Q0HLL4
Q15TV2	Q5E4P6
Q15TV2	B5FEQ2
Q15TV2	Q482P5
Q15TV2	B4RRY8
Q14B02	Q14B02
P14626	P14626
B5BIE3	B5BIE3
B5BIE3	Q31ZY2
B5BIE3	A1JM34
B5BIE3	A7FI01
B5BIE3	A7MMD8
B5BIE3	B2K4J2
B5BIE3	A7ZLA9
B5BIE3	Q1CIZ7
B5BIE3	B7L4C3
B5BIE3	B5YZR8
B5BIE3	B7NVR1
B5BIE3	B7LY47
B5BIE3	C4ZTY2
B5BIE3	B1XBN7
B5BIE3	A1AAQ4
B5BIE3	Q0TI78
B5BIE3	B1ITG7
B5BIE3	P30850
B5BIE3	B7N4A3
B5BIE3	B7LRZ1
B5BIE3	A6T7Z4
B5BIE3	C6DK05
B5BIE3	B5F571
B5BIE3	A9MQ20
B5BIE3	Q57NV9
B5BIE3	B5R490
B5BIE3	B5R9Y0
B5BIE3	C0Q3R1
B5BIE3	Q1LTG8
B5BIE3	Q2NST6
B5BIE3	B7VSB8
B5BIE3	A5F0G1
B5BIE3	C3LW69
B5BIE3	B0BP37
B5BIE3	A3N0B9
B5BIE3	B3GXJ4
B5BIE3	Q65SI5
B5BIE3	Q057Q9
B5BIE3	P57354
B5BIE3	B4EW02
Q08E13	Q08E13
Q08E13	Q5XI59
Q08E13	Q3UIW5
Q08E13	Q32NQ8
A5CVI0	A5CVI0
F2R776	F2R776
F2R776	P95598
F2R776	L8EUQ6
F2R776	Q58PK7
F2R776	Q5YTV5
A0A1U9YI27	A0A1U9YI27
A0A1U9YI27	Q4WMJ8
A0A1U9YI27	Q3SZM7
A0A1U9YI27	P31428
A0A1U9YI27	P22412
A0A1U9YI27	P31429
A0A1U9YI27	P31430
A0A1U9YI27	P43477
A0A1U9YI27	Q0CS61
A0A1U9YI27	M1VV65
A0A1U9YI27	D4DEJ7
A0A1U9YI27	E5R2Q7
A0A1U9YI27	C5FK77
A0A1U9YI27	E9CV02
A0A1U9YI27	C5PCN6
A0A1U9YI27	C7ZIE1
O68953	O68953
O68953	O68954
Q47592	Q47592
Q47592	J7I4B7
B5QVI4	B5QVI4
B5QVI4	A9MXG5
B5QVI4	B4TNU5
B5QVI4	Q31UJ1
B5QVI4	Q329X1
B5QVI4	A8ACU5
B5QVI4	A7ZTZ6
B5QVI4	B7MR14
B5QVI4	A1AHW2
B5QVI4	B1IWA7
B5QVI4	P56258
B5QVI4	B6I4D0
B5QVI4	B1LLW6
B5QVI4	B5FN86
B5QVI4	A1JI79
B5QVI4	Q1CBP2
B5QVI4	B2K058
B5QVI4	C6DHE4
Q60106	Q60106
A7MWU9	A7MWU9
A7MWU9	B2K658
A7MWU9	A7MEN2
A7MWU9	Q1CLD0
A7MWU9	A7ZHZ7
A7MWU9	A4TPK4
A7MWU9	B7L3Z0
A7MWU9	Q66DZ2
A7MWU9	B7MQ74
A7MWU9	B1JIH6
A7MWU9	B1J0Z6
A7MWU9	P0A9M5
A7MWU9	B6I018
A7MWU9	A4W6X0
A7MWU9	C6DCY0
A7MWU9	B5EWK0
A7MWU9	A9MNR9
A7MWU9	B5R5R4
A7MWU9	B4T7Q0
A7MWU9	Q5PF80
A7MWU9	C0Q6T6
A7MWU9	P0A278
A7MWU9	P0A277
A7MWU9	A8GAD0
A7MWU9	Q325P8
A7MWU9	Q32J21
A7MWU9	Q0T7Q9
A7MWU9	P0A9M7
A7MWU9	B7VJB5
A7MWU9	B0UWV5
A7MWU9	Q0I1C0
A7MWU9	Q4QMP2
A7MWU9	P43859
A7MWU9	P57339
A7MWU9	Q1QVR0
A7MWU9	Q2IV51
A7MWU9	A1VES8
A7MWU9	A6X0U5
A7MWU9	Q11IP4
A7MWU9	A9MB59
A7MWU9	B0CGJ6
A7MWU9	A6U9A2
A7MWU9	Q1GHI7
F5HID8	F5HID8
F5HID8	D0U690
P93046	P93046
P93046	O80803
P93046	Q38857
P93046	Q39857
P93046	Q41638
P93046	Q41542
P93046	G5DAC7
P93046	Q38908
P93046	Q38909
Q680B7	Q680B7
Q680B7	A0A1P8B8F8
Q54V83	Q54V83
P41248	P41248
P41248	P38462
E9QCD3	E9QCD3
A0A0N9HQ36	A0A0N9HQ36
B7MG55	B7MG55
B7MG55	B5YXT1
B7MG55	B7M5X0
B7MG55	B1X903
B7MG55	A8A2G0
B7MG55	A1ADE0
B7MG55	Q0TFF5
B7MG55	B1IXQ1
B7MG55	B6I7L3
B7MG55	Q1R9C4
B7MG55	B2VIV0
B7MG55	A6TBX7
B7MG55	C6DA49
B7MG55	A9MJ94
B7MG55	Q57M23
B7MG55	B5FPH3
B7MG55	B5RCF7
B7MG55	Q3V7K9
B7MG55	C0Q034
B7MG55	B5BCL4
B7MG55	A9R6M4
B7MG55	Q1CHP8
B7MG55	A4TM39
B7MG55	B1JGL0
O84189	O84189
Q3SYR3	Q3SYR3
Q03D71	Q03D71
Q03D71	Q49WA6
Q03D71	Q5HQJ4
Q03D71	A7X0I2
Q03D71	Q2FZT5
Q03D71	Q2YWW4
Q03D71	A6QFH8
Q03D71	A8Z073
Q03D71	Q18AN9
Q03D71	Q5XCW6
Q03D71	Q1JCJ8
Q03D71	Q1JMH5
Q03D71	Q1J7E4
Q03D71	A2RFA8
Q03D71	P0CZ53
Q03D71	B5XKR4
Q03D71	B4U2H1
Q03D71	B1YKM8
Q03D71	B3WEJ1
Q03D71	Q1GAA9
Q03D71	Q04AN7
Q03D71	Q043G6
Q03D71	A8YVK0
Q03D71	A3CNT9
Q03D71	A8AY33
Q03D71	B1IBR6
Q03D71	B5E4P5
Q03D71	Q033I1
Q03D71	A2RH77
Q03D71	B1MZM2
Q03D71	Q03W49
Q03D71	Q03NA7
Q03D71	A5VHK2
P49606	P49606
O29953	O29953
O29953	P72940
O29953	C1CVW7
O29953	Q2JUC0
O29953	B1XN05
O29953	Q5LES5
O29953	A5N960
O29953	B8D0S4
O29953	O06735
O29953	Q4L9E6
B3PZG1	B3PZG1
B3PZG1	A5VVT4
B3PZG1	A9WW39
B3PZG1	B5ZN24
B3PZG1	B9J8D1
B3PZG1	Q21B54
B3PZG1	Q13F24
B3PZG1	B3QCH6
B3PZG1	Q28VJ6
B3PZG1	Q16DM5
B3PZG1	A3PNH8
B3PZG1	Q11LD4
B3PZG1	B8IHY5
B3PZG1	B1ZGG8
B3PZG1	Q1QH73
B3PZG1	Q2G798
B3PZG1	A1B507
B3PZG1	A9ILJ3
B3PZG1	A7HPQ7
B3PZG1	C3MF35
B3PZG1	A5ESQ2
B3PZG1	A6U5J9
B3PZG1	B2SC15
B3PZG1	Q576T5
B3PZG1	C0RMG8
B3PZG1	C5CLT4
B3PZG1	A5WDV6
B3PZG1	B9MJK9
B3PZG1	Q5GSI7
B3PZG1	Q5NQF0
B3PZG1	Q1RHE0
B3PZG1	A5IG27
B3PZG1	A0K8F4
B3PZG1	A4G4R0
B3PZG1	Q39F33
B3PZG1	A6SZR2
B3PZG1	Q62JB3
B3PZG1	B1JUG0
B3PZG1	Q63T02
B3PZG1	C1DD37
B3PZG1	Q5WY20
B3PZG1	Q47FA8
B3PZG1	Q0AJF8
B3PZG1	Q2Y7X5
B3PZG1	Q0A7H6
B3PZG1	A1K717
B3PZG1	B2T5K6
B3PZG1	Q13XA4
B3PZG1	Q485H5
B3PZG1	A5UCM7
B3PZG1	P57323
B3PZG1	P45284
B3PZG1	A9R398
B3PZG1	A4TL95
B3PZG1	Q5QXS9
B3PZG1	Q667I6
B3PZG1	B1JQF7
B3PZG1	A9MPJ6
B3PZG1	Q57T42
B3PZG1	A8ALC4
B3PZG1	Q65TC6
B3PZG1	B4TK41
B3PZG1	B4SUZ5
B3PZG1	Q5DL43
B3PZG1	A9N0R2
B3PZG1	B0VTA6
B3PZG1	Q1LNH0
B3PZG1	C0Q5S6
B3PZG1	A3M7R2
B3PZG1	B5BL93
B3PZG1	B0VCW7
B3PZG1	A8GIE9
B3PZG1	A1S4N7
B3PZG1	A3N3F7
B3PZG1	B7UIL1
B3PZG1	A6WLA3
B3PZG1	P41396
B3PZG1	B7MBE7
B3PZG1	Q12NZ0
B3PZG1	B0TP86
B3PZG1	B4RVP7
B3PZG1	B7NIC7
B3PZG1	A8H6L9
B3PZG1	B7M1A5
B3PZG1	A4Y540
B3PZG1	B1XD35
B3PZG1	A1RLN0
B3PZG1	A7ZWB2
B3PZG1	P0A9D9
B3PZG1	A1A7L0
B3PZG1	B1IQH5
B3PZG1	Q1RG24
B3PZG1	Q2NRK4
B3PZG1	A4SYV8
B3PZG1	Q3SJI4
B3PZG1	A9NCF0
B3PZG1	B5Z0E4
B3PZG1	Q4QL69
B3PZG1	A1JP86
B3PZG1	B5Y1K5
B3PZG1	Q0KA05
B3PZG1	A7ZHQ6
B3PZG1	Q493D4
B3PZG1	Q2W0E8
B3PZG1	Q2RNM2
B3PZG1	P0A4U9
B3PZG1	B1YSH7
B3PZG1	B1Y6E5
B3PZG1	Q4FNF4
