B1Y2H6	B1Y2H6
Q15NL4	Q15NL4
O33040	O33040
O33040	P9WQ95
O33040	P63495
O67868	O67868
Q1CTV6	Q1CTV6
Q1CTV6	Q17W06
Q1CTV6	B6JLF2
Q1CTV6	B2UTQ8
Q1CTV6	O25294
A2BSQ4	A2BSQ4
A2BSQ4	A3PEG6
P18539	P18539
C1GD57	C1GD57
C1GD57	C0NIF0
C1GD57	C1H9Q9
P06279	P06279
Q475S7	Q475S7
Q475S7	Q1LRC5
Q4FMN4	Q4FMN4
A0A1S3YEG8	A0A1S3YEG8
A0A1S3YEG8	A0A1S4BJT3
P48034	P48034
P48034	Q5FB27
P48034	Q06278
P48034	P80456
A9BVD2	A9BVD2
Q5P5G6	Q5P5G6
Q54T49	Q54T49
A6VJW6	A6VJW6
A6VJW6	A4FYD7
A6VJW6	A6USF2
A9BG28	A9BG28
P0C0L0	P0C0L0
C3PEE7	C3PEE7
O31019	O31019
A8F450	A8F450
B1K264	B1K264
B1K264	B4EG04
A0AJ40	A0AJ40
A0AJ40	C1KVN8
A8F448	A8F448
A6Q9U8	A6Q9U8
P54752	P54752
Q4A0N0	Q4A0N0
Q5NQQ4	Q5NQQ4
Q5NQQ4	B8EJT0
Q5NQQ4	A1B9Q2
P35289	P35289
P35289	Q1RMR4
Q15286	Q15286
P22216	P22216
P61225	P61225
P61225	P10114
P61225	Q06AU2
Q4I4A4	Q4I4A4
Q1ARR5	Q1ARR5
B3LN76	B3LN76
B3LN76	C7GQI8
B3LN76	A6ZL17
A5VK09	A5VK09
P52115	P52115
P52115	P00796
P52115	P08424
P52115	P60016
P52115	P00797
A6VH58	A6VH58
A6VH58	A4FW52
Q3E9C3	Q3E9C3
Q5QYF8	Q5QYF8
B6ENI2	B6ENI2
B6ENI2	Q5E5L2
B6ENI2	B5FDS3
Q12YR1	Q12YR1
A6UVI4	A6UVI4
P43565	P43565
B3R4X7	B3R4X7
B3R4X7	A4G6D4
B3R4X7	Q0KBP2
B3R4X7	Q472G1
B3R4X7	B2JG80
B3R4X7	B2T3U5
B3R4X7	Q13Z56
B3R4X7	A0K7Q6
B3R4X7	Q39FU0
B3R4X7	A2S2C9
B3R4X7	Q62JZ1
B3R4X7	A1V4H3
B3R4X7	B1JT65
B3R4X7	Q1BGU5
B3R4X7	A3NVU2
B3R4X7	Q3JRT1
B3R4X7	A3NA26
B3R4X7	A1VQ18
B3R4X7	A1WAJ7
B3R4X7	A1WMV5
B3R4X7	A9BVZ2
A6W833	A6W833
Q028J0	Q028J0
Q54VD8	Q54VD8
P80750	P80750
O83092	O83092
B6EI99	B6EI99
B6EI99	A1SUU5
B6EI99	Q01994
B6EI99	B7V7Q5
B6EI99	Q02SM0
B6EI99	A5VXW0
B6EI99	Q2S9R9
B6EI99	B0KL70
B6EI99	Q21F19
B6EI99	C1DLH8
B6EI99	A8FSR4
B6EI99	A6WR47
