P21215	P21215
Q0QFQ1	Q0QFQ1
O18229	O18229
F1SPM8	F1SPM8
F1SPM8	Q3UHJ0
F1SPM8	P0C1X8
A0A009IHW8	A0A009IHW8
Q1QQX0	Q1QQX0
Q1QQX0	Q3J5L4
Q1QQX0	A4WVF3
Q1QQX0	Q3SVN2
Q1QQX0	Q11DU2
Q1QQX0	Q2NB51
Q1QQX0	B4RG38
Q1QQX0	A1UQX6
Q1QQX0	Q1GS64
Q1QQX0	A5ETC9
Q1QQX0	A4YKW6
Q1QQX0	A7ICM4
Q1QQX0	Q57AM5
Q1QQX0	A5VSZ7
Q1QQX0	B0CJD4
Q1QQX0	Q5NPY2
Q1QQX0	Q28V72
Q1QQX0	B6JAC0
Q1QQX0	Q2J2R7
Q1QQX0	Q07VD3
Q1QQX0	A8IHS4
Q1QQX0	B8ID69
Q1QQX0	A6UCL8
Q1QQX0	A3PGR9
Q1QQX0	B3PPF4
Q1QQX0	Q2K3L0
Q1QQX0	Q1MB43
Q1QQX0	B9JBU0
Q1QQX0	Q16BI0
Q1QQX0	B0T8G4
Q1QQX0	Q607F6
Q1QQX0	C1DST0
Q1QQX0	Q14GB2
Q1QQX0	Q4KHG0
Q1QQX0	C3K6H2
Q1QQX0	A6V1E9
Q1QQX0	Q3KH96
Q1QQX0	Q31G64
Q1QQX0	A6LSD1
Q1QQX0	B2THL2
Q1QQX0	B0VV78
Q1QQX0	B2HTI7
Q1QQX0	B2SXP7
Q1QQX0	B1IQF6
Q1QQX0	B4TK60
Q1QQX0	P0ABD5
Q1QQX0	A9N0T5
Q1QQX0	B6HZF9
Q1QQX0	C0Q6K8
Q1QQX0	B1LGY7
Q1QQX0	B4TYE5
Q1QQX0	Q1RG04
Q1QQX0	A8GID0
Q1QQX0	Q32JS4
Q1QQX0	Q3SL76
Q1QQX0	C6DAJ9
Q1QQX0	B8GQ68
Q1QQX0	B7LW64
Q1QQX0	C3LPP8
Q1QQX0	Q1LSU5
Q1QQX0	B1XUY6
Q1QQX0	B0RW82
Q1QQX0	Q2P4C1
Q1QQX0	Q2A5B4
Q1QQX0	Q1R017
Q1QQX0	B2SEQ7
Q1QQX0	Q1CAL8
Q1QQX0	A8ALA3
Q1QQX0	Q0BNM6
Q1QQX0	Q1CFG3
Q1QQX0	Q2SX76
Q1QQX0	A4IXL3
Q1QQX0	B1YSM6
Q1QQX0	A0K8K0
Q1QQX0	Q485F2
Q1QQX0	Q39WC1
Q1QQX0	Q2T4M6
Q1QQX0	Q39EZ0
Q1QQX0	B6IYZ2
Q1QQX0	A1V5G6
Q1QQX0	A9KF93
Q1QQX0	B8F892
Q1QQX0	B1JUK6
Q1QQX0	Q0KCA7
Q1QQX0	Q4ZWR2
Q1QQX0	A3NWX6
Q1QQX0	Q473D1
Q1QQX0	B2U9Q0
Q1QQX0	A3N2D4
Q1QQX0	Q3JQT8
Q1QQX0	Q0I3D3
Q1QQX0	B3H2H3
Q1QQX0	A3NB48
Q1QQX0	Q47HT1
Q1QQX0	B0BR78
Q1QQX0	Q63ST0
Q1QQX0	Q5QZP1
Q1QQX0	A6VNE6
Q1QQX0	B7MBG6
Q1QQX0	B7LGP7
Q1QQX0	A6T4Y7
Q1QQX0	P0ABD6
Q1QQX0	Q5E3F5
Q1QQX0	B7M1Y8
Q1QQX0	Q65UI5
Q1QQX0	B1XD54
Q1QQX0	A1TZ44
Q1QQX0	A1AVG1
Q1QQX0	A7ZWD1
Q1QQX0	B5F8U6
Q1QQX0	A1A7M9
Q1QQX0	B5FJ32
Q1QQX0	A1K3X7
Q1QQX0	Q0TLE8
Q1QQX0	A1KTZ4
Q1QQX0	B5R424
Q1QQX0	A4VJT7
Q1QQX0	C5BR01
Q1QQX0	B1GZT6
Q1QQX0	A8G3P9
Q1QQX0	A5GJG7
Q1QQX0	Q0I8N1
Q1QQX0	B2J1L9
Q1QQX0	P74638
Q1QQX0	Q3MA36
Q1QQX0	B1XK66
Q1QQX0	P51371
Q1QQX0	A2C7S3
Q1QQX0	A9BEF8
Q1QQX0	O19903
B3Q607	B3Q607
B3Q607	A4YJI4
B3Q607	B2S9A2
B3Q607	Q2YQW8
B3Q607	Q28WD5
B3Q607	Q57AF3
B3Q607	C0RFZ1
B3Q607	A5VT60
B3Q607	B0CJK5
B3Q607	C3MBA1
B3Q607	A9CKT0
B3Q607	A6UEI3
B3Q607	B9JXV8
B3Q607	C5ASN5
B3Q607	C7CMU4
B3Q607	A7IFZ8
B3Q607	B1ZLY6
B3Q607	B0UKV1
B3Q607	B8ESN3
B3Q607	Q0BQJ1
B3Q607	B3PVV4
B3Q607	Q1MND4
B3Q607	Q2J2G6
B3Q607	Q13EQ0
B3Q607	Q2N9M9
B3Q607	Q0ATK2
B3Q607	C6XMV9
Q477B5	Q477B5
Q477B5	B2UDV1
Q477B5	Q21RR4
Q477B5	A1TVC1
Q477B5	Q124G2
Q477B5	A2SL82
Q477B5	A0KAZ7
Q477B5	Q146J2
Q477B5	Q0BBE2
Q477B5	A2S7Q4
Q477B5	Q62MX7
Q477B5	A1V827
Q477B5	Q1BT42
Q477B5	Q3JWQ8
Q477B5	A3N530
Q477B5	A1K4K7
Q477B5	Q5P801
P0CL99	P0CL99
Q54GQ6	Q54GQ6
B4T8P3	B4T8P3
B4T8P3	C0Q7S7
B4T8P3	B5BDD0
B4T8P3	B4TZH7
B4T8P3	Q325J7
B4T8P3	Q3Z505
B4T8P3	A1JNT5
B4T8P3	Q66DW7
B4T8P3	A7ZIF6
B4T8P3	B7UJM7
B4T8P3	B5Z2W0
B4T8P3	B1XEZ2
B4T8P3	A7ZX55
B4T8P3	B7N8V6
B4T8P3	B6HZK4
B4T8P3	B1LJF2
B4T8P3	A4W777
B4T8P3	A6T5D6
B4T8P3	B5EWT7
B4T8P3	Q57SG0
B4T8P3	B5R6Q5
B9L9S0	B9L9S0
B9L9S0	A6Q3W1
B9L9S0	A8FN84
B9L9S0	A7H5D0
B9L9S0	Q5HT08
B9L9S0	B9KEZ8
B9L9S0	B6JM38
B9L9S0	B5Z7H0
Q60HH2	Q60HH2
Q60HH2	Q5R9E0
Q60HH2	Q28C61
Q60HH2	A8KB34
A8MC09	A8MC09
A8MC09	Q2RJ59
Q3A2F4	Q3A2F4
Q3A2F4	A0B3Q5
Q3A2F4	Q13J37
Q3A2F4	A3MGM0
Q3A2F4	Q62A02
Q3A2F4	Q1BJL9
Q3A2F4	Q3JJ17
Q06K61	Q06K61
Q06K61	Q5MIX2
Q2RL77	Q2RL77
A0B6I9	A0B6I9
A0B6I9	B8FLT9
P78825	P78825
A2R797	A2R797
O58954	O58954
O58954	Q5JI79
P0A0B7	P0A0B7
P0A0B7	P0A0B5
P0A0B7	Q49UT8
P0A0B7	P80239
P0A0B7	P0AE10
P0A0B7	P0AE09
P0A0B7	P0AE08
P0A0B7	P0AE11
D2PPM7	D2PPM7
Q5I0K7	Q5I0K7
A0JPQ8	A0JPQ8
P0AAS6	P0AAS6
B5EP95	B5EP95
P75820	P75820
P47631	P47631
Q54JH6	Q54JH6
Q5ZJV9	Q5ZJV9
Q5ZJV9	Q60809
Q5ZJV9	A4II96
A4IZ18	A4IZ18
A4IZ18	Q14IN9
A4IZ18	A7ND27
A4IZ18	A0Q5Y0
C6BXG1	C6BXG1
C6BXG1	C4XSE1
C6BXG1	A1VDV0
A1K3E5	A1K3E5
A0M5N3	A0M5N3
Q31E86	Q31E86
Q3IJV0	Q3IJV0
A5VR62	A5VR62
Q18KB3	Q18KB3
B5FLY5	B5FLY5
B5FLY5	B5RBK7
B5FLY5	A6TBB1
B5FLY5	C0Q1Q9
B5FLY5	Q322B3
B5FLY5	Q0T3C3
B5FLY5	A7ZNF6
B5FLY5	B7MDB8
B5FLY5	B7L917
B5FLY5	B5YSS1
B5FLY5	B7M3C8
B5FLY5	C4ZQQ5
B5FLY5	Q0TGE0
B5FLY5	P36561
Q3IRF2	Q3IRF2
Q3IRF2	B9LQ33
Q3IRF2	B0R6P7
Q3IRF2	D3SYZ8
C4Y5Y7	C4Y5Y7
C4Y5Y7	A5DMG2
C4Y5Y7	C5MFD6
C4Y5Y7	O13525
C4Y5Y7	A7TMI3
C4Y5Y7	B3LG81
C4Y5Y7	B5VG95
C4Y5Y7	B9W797
C4Y5Y7	Q5AI44
Q68FU7	Q68FU7
Q2KBM1	Q2KBM1
Q2KBM1	Q07HB2
Q2KBM1	Q13CY5
Q2KBM1	B1ZKN8
Q2KBM1	C3PN58
Q2KBM1	A8GVN8
Q2KBM1	A8EZ97
Q2KBM1	Q4UM22
Q2KBM1	C4K2Q8
Q2KBM1	B0BX58
Q2KBM1	A3PGX5
Q2KBM1	Q3J5F9
Q2KBM1	B9KLZ5
Q2KBM1	P08301
Q2KBM1	A1URX1
Q2KBM1	Q1GE49
Q2KBM1	Q5LNX8
Q2KBM1	Q5HAA6
Q2KBM1	Q3YR13
Q2KBM1	Q5FGC3
Q2KBM1	Q2NCF2
Q2KBM1	A5VD56
Q2KBM1	Q2G9W3
Q2KBM1	A9M8Z3
Q2KBM1	Q11KD2
Q2KBM1	A6WWG0
Q2KBM1	Q1QHV7
Q2KBM1	A5VP40
Q2KBM1	B0CKF4
Q2KBM1	Q2GDE4
Q2KBM1	B0T0X6
Q2KBM1	Q0AMG9
Q2KBM1	A5CF31
Q2KBM1	A7HQW1
Q2KBM1	B1M595
Q2KBM1	B0UFS2
Q2KBM1	B2IGJ6
Q2KBM1	A4Z2D2
Q2KBM1	Q28MJ1
Q2KBM1	Q0C3D1
Q2KBM1	C0R2X3
Q2KBM1	B9KGP6
Q2KBM1	Q5P9Y8
Q2KBM1	Q2GJ17
Q2KBM1	A9HKH7
Q2KBM1	Q0BPU7
Q2KBM1	A5G0I2
P80055	P80055
Q5RE72	Q5RE72
Q5RE72	Q64654
Q5RE72	Q4PJW3
Q5RE72	Q16850
P82474	P82474
Q5AK54	Q5AK54
P54980	P54980
Q67X45	Q67X45
A6U0T3	A6U0T3
A6U0T3	Q2FHW5
A6U0T3	Q2G2C0
A6U0T3	Q2YX60
A6U0T3	A6QFX0
A6U0T3	B9DPV8
A6U0T3	Q4L5C9
A6U0T3	Q49WP0
A6U0T3	A7X127
A6U0T3	B9EB26
P49025	P49025
Q4WE62	Q4WE62
Q27675	Q27675
Q27675	Q25263
O31440	O31440
Q0SHK6	Q0SHK6
Q0SHK6	A4QFS2
Q0SHK6	A3Q1S7
Q0SHK6	A0QEY7
Q0SHK6	A1UIB3
Q0SHK6	Q1B6R2
Q0SHK6	A1TB25
Q0SHK6	Q5YZ58
A8Y3E2	A8Y3E2
